step,t,py_x0,py_x1,py_x2,py_x3,py_x4,py_x5,py_x6,py_x7,py_x8,py_x9,py_x10,py_x11,cpp_x0,cpp_x1,cpp_x2,cpp_x3,cpp_x4,cpp_x5,cpp_x6,cpp_x7,cpp_x8,cpp_x9,cpp_x10,cpp_x11,diff_x0,diff_x1,diff_x2,diff_x3,diff_x4,diff_x5,diff_x6,diff_x7,diff_x8,diff_x9,diff_x10,diff_x11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.0,0.0,2.815424601417443e-05,1.4988063464116008e-05,0.0,0.0,0.0,0.0,0.0027504204525033603,0.0014514288149913193,0.0,0.0,0.0,0.0,2.815424601417443e-05,1.4988063464116008e-05,0.0,0.0,0.0,0.0,0.0027504204525033603,0.0014514288149913193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,0.0,0.0,5.617478951255415e-05,3.432877418566554e-05,0.0,0.0,0.0,0.0,0.00011540932402171735,0.0005202125784079386,0.0,0.0,0.0,0.0,5.6174789512554124e-05,3.432877418566554e-05,0.0,0.0,0.0,0.0,0.00011540932402171735,0.0005202125784079386,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,0.0,0.0,5.541550971083076e-05,6.55760406672861e-05,0.0,0.0,0.0,0.0,-0.00015776459474432943,0.0025877094512896212,0.0,0.0,0.0,0.0,5.541550971083073e-05,6.55760406672861e-05,0.0,0.0,0.0,0.0,-0.00015776459474432938,0.0025877094512896212,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,-5.421010862427522e-20,0.0,0.0,0.0
4,0.08,0.0,0.0,2.6807212435854853e-05,0.000100551326274566,0.0,0.0,0.0,0.0,-0.0026529425653793533,0.0009214451596131438,0.0,0.0,0.0,0.0,2.6807212435854826e-05,0.000100551326274566,0.0,0.0,0.0,0.0,-0.0026529425653793533,0.0009214451596131438,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,0.0,0.0,-1.1890737362286922e-05,0.00014568816242350733,0.0,0.0,0.0,0.0,-0.0012576218130168663,0.0035181825339248634,0.0,0.0,0.0,0.0,-1.1890737362286936e-05,0.00014568816242350733,0.0,0.0,0.0,0.0,-0.001257621813016866,0.0035181825339248634,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,-2.168404344971009e-19,0.0,0.0,0.0
6,0.12,-0.003188918225152371,0.006126878323898148,-2.34084724881553e-05,0.00011010211990326322,0.0,0.0,-0.3170138545405547,0.6118090217365142,5.010083632984736e-05,-0.007063533179509847,0.0,0.0,-0.0031889182251523696,0.006126878323898146,-2.34084724881553e-05,0.00011010211990326319,0.0,0.0,-0.3170138545405546,0.6118090217365141,5.010083632984823e-05,-0.007063533179509848,0.0,0.0,-1.3010426069826053e-18,2.6020852139652106e-18,0.0,2.710505431213761e-20,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-8.673617379884035e-19,8.673617379884035e-19,0.0,0.0
7,0.14,-0.003998121973399164,0.023093999382555554,-8.16264264365289e-05,-9.541239084558394e-05,0.0,0.0,0.23560253325262054,1.0853118410110008,-0.005855370263033446,-0.013412498951134774,0.0,0.0,-0.003998121973399163,0.023093999382555547,-8.16264264365289e-05,-9.5412390845584e-05,0.0,0.0,0.23560253325262043,1.0853118410110008,-0.005855370263033447,-0.013412498951134774,0.0,0.0,-8.673617379884035e-19,6.938893903907228e-18,0.0,6.776263578034403e-20,0.0,0.0,1.1102230246251565e-16,0.0,8.673617379884035e-19,0.0,0.0,0.0
8,0.16,0.0015298028771064038,0.04763636944206321,-0.00019337497591882048,-0.00041012063398075346,0.0,0.0,0.31587244699990996,1.3620243006420014,-0.005304329130242227,-0.01786223392510884,0.0,0.0,0.0015298028771063997,0.0476363694420632,-0.0001933749759188205,-0.0004101206339807535,0.0,0.0,0.3158724469999098,1.3620243006420014,-0.005304329130242225,-0.017862233925108835,0.0,0.0,4.119968255444917e-18,6.938893903907228e-18,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,1.6653345369377348e-16,0.0,-1.734723475976807e-18,-3.469446951953614e-18,0.0,0.0
9,0.18,0.009468236909406702,0.07541244828150599,-0.0003340165194276553,-0.0008086743358913168,0.0,0.0,0.47918257907104594,1.405402784250503,-0.00873390523414599,-0.021766573095739587,0.0,0.0,0.009468236909406694,0.07541244828150599,-0.00033401651942765526,-0.0008086743358913168,0.0,0.0,0.4791825790710458,1.4054027842505032,-0.00873390523414599,-0.02176657309573958,0.0,0.0,8.673617379884035e-18,0.0,-5.421010862427522e-20,0.0,0.0,0.0,1.6653345369377348e-16,-2.220446049250313e-16,0.0,-6.938893903907228e-18,0.0,0.0
10,0.2,0.02262943322310996,0.101971559309478,-0.0005624815712382688,-0.0012244925989424007,0.0,0.0,0.8332581265776468,1.2514437323472183,-0.014013724647474239,-0.019721876736223318,0.0,0.0,0.022629433223109945,0.10197155930947802,-0.0005624815712382689,-0.0012244925989424004,0.0,0.0,0.8332581265776465,1.2514437323472187,-0.014013724647474239,-0.01972187673622331,0.0,0.0,1.3877787807814457e-17,-1.3877787807814457e-17,1.0842021724855044e-19,-2.168404344971009e-19,0.0,0.0,2.220446049250313e-16,-4.440892098500626e-16,0.0,-6.938893903907228e-18,0.0,0.0
